"","clusterNumber","ANS01.PFC.1A","ANS01.PFC.2A","ANS01.PFC.3A","ANS01.PFC.1B","ANS01.PFC.2B","ANS01.PFC.3B","ANS01.PFC.1C","ANS01.PFC.2C","ANS01.PFC.3C"
"GOLGA2",70,1490.646242,1635.266473,1501.656854,1523.816951,1595.202843,1558.608557,1519.070498,1407.028714,1486.502682
"EBP",70,188.8890511,236.2574093,194.5422307,193.5187401,238.0800975,213.7751627,195.7024414,146.6908965,183.4919876
"CAPN15",70,742.7188199,800.6701736,763.3771105,730.6141498,794.5897383,766.6764534,787.7698652,698.6500154,704.8346475
"TPT1-PS3",70,18.8732663,39.68333038,33.37355314,20.66280682,27.10937073,28.5901606,24.54363298,17.1627044,22.16960333
"PRDM15",70,343.4181079,394.282219,388.6003062,342.9556504,372.8644024,382.0691459,400.8496719,325.5017337,352.0927195
"ZFP341",70,140.3365859,164.8214427,178.0406138,151.8936139,162.3204407,164.3158631,169.5871553,135.9002035,155.4797356
"ZFP143",70,178.6541887,206.7270223,209.8160293,185.9645454,194.5865111,198.6222738,204.6225252,170.5347046,195.4669223
"RBM28",70,751.2821294,943.0127899,881.7178847,722.5048529,813.4507191,956.443938,821.7910222,703.6831181,854.6258196
"FCRLS",70,288.077005,416.0118777,368.290533,299.5190167,310.3076619,384.4218036,394.0102893,288.3129246,352.3861485
"CENPJ",70,28.82381694,73.17774406,56.18370576,37.15422024,50.83324297,57.87164845,53.98075047,30.40748521,52.40470183
"GM44559",70,24.4202627,34.52087283,66.62179187,29.9299851,39.58403008,41.7183559,22.61537269,24.7062107,49.57275553
"BAIAP2L2",70,34.83167465,48.34562135,37.33407909,19.27273039,32.34419918,32.40904419,40.48341827,14.59339779,10.33701584
"DPF1",70,868.4699591,979.0884651,869.6876169,784.5359326,895.7453243,852.6565836,926.6029631,816.6859679,750.0562916
"RUNX2",70,143.1529456,226.3564253,171.8103392,147.0064262,172.7974448,156.1672389,197.0153877,149.0686609,139.3409265
"BICRA",70,267.698332,359.3306757,292.8966887,262.1108196,288.224124,268.7680386,297.3615017,260.4072166,240.713046
"NELL1",70,853.7843802,1013.3148,937.6785377,791.7225685,916.3018011,787.2718921,937.5114887,834.8205211,758.0647699
"GM49678",70,4.430724331,6.324882493,2.07230786,5.770674758,0.96522818,4.780668262,8.456863164,4.479159519,6.194846293
"ZBTB2",70,193.7424714,238.713927,203.6499591,161.7236116,182.9451108,182.4177487,173.6027542,160.0088118,172.9201559
"ZFP768",70,122.1619488,149.7450246,140.3866076,109.5295071,128.2521684,107.9245961,121.4719543,110.9312851,120.7474432
"KDR",70,193.2410455,267.6863851,218.7551243,145.3892534,217.3479695,177.0514304,193.4815738,157.8060129,174.2319152
"WFIKKN2",70,17.49354735,23.63135351,18.44470183,5.397764405,22.49587345,9.905704946,15.11325827,12.62241872,10.74044301
"D030068K23RIK",70,418.824201,443.5093244,458.3709882,359.9768189,358.6433959,346.982691,386.2577658,388.3122619,516.9733138
"RBM6",70,963.9042485,1079.497411,1031.756178,935.169409,1060.589115,1011.366713,1000.395699,935.5475483,984.620355
"GM17705",70,802.7390384,895.7024396,779.2869437,809.1105069,922.2089337,843.7685405,824.115462,729.339219,708.8706506
"GM42656",70,3.318753196,6.305935104,6.240024008,2.306373256,6.758510701,9.496285891,4.726778318,5.234649282,8.851398708
"IP6K2",70,1184.453311,1270.216949,1164.465377,1132.337529,1212.571848,1209.700524,1199.339493,1197.926108,1190.90078
"D530018E20RIK",70,5.533361521,7.365272763,5.187679321,6.92894103,3.855716283,4.759207487,3.7758516,4.489368824,10.61803101
"PIP5K1B",70,267.5081674,317.4771963,292.2427295,220.0825949,305.4697876,281.0477943,282.6204335,283.4063585,285.8417249
"KTI12",70,120.790521,146.2085564,126.320556,96.5782467,144.0097126,136.2085057,133.8100696,136.4784335,122.1605757
"MASKBP3",70,17.23670532,17.70068281,18.13235607,15.63911931,17.95164549,10.48050084,10.49798291,10.92004872,19.95044959
"SNORA73B",70,8.729937673,20.25130855,8.451145848,2.282212699,6.943800525,10.79998546,10.59294038,4.157550886,8.979199053
"RNU1A1",70,22.11550843,28.37608581,25.99596389,19.59979357,19.30117107,28.45619956,21.76139142,34.43878443,23.90955468
"GM37628",70,5.574212742,6.267262912,5.213567556,4.599147244,7.755653912,7.231459326,11.21322459,3.70041755,4.432148962
"CCDC93",70,567.6351476,719.3390626,593.938805,481.4603498,557.6757892,589.4140682,584.4559685,558.856881,585.1436892
"SOX13",70,105.2211962,127.106923,110.7983007,83.6452668,98.45185506,102.4583146,103.2519854,94.85433515,105.8403585
"A230056P14RIK",70,320.2237511,330.2267178,310.6198822,251.2351964,272.5577143,253.1808695,261.9175268,290.6769755,359.183429
"GM46447",70,24.22007645,26.41342306,19.84985663,16.03082918,16.48838202,14.16596622,21.9380375,23.78019827,29.22235425
"TMEM183A",70,1051.907845,1194.711202,1087.465,1010.147752,1085.030728,1128.117748,1122.72239,1071.298061,1075.64457
"IFI203",70,12.30700677,26.73511655,21.62568959,4.748985214,13.05151157,25.15897643,19.83619148,11.27787441,13.92322418
"MAGI1",70,1863.199513,2080.641947,2010.895915,1781.931345,1920.104481,2072.843852,2026.95027,1901.577525,1920.83076
"CCDC80",70,143.0074748,190.1857774,159.0232959,139.2376351,139.9492553,161.0080532,164.5243203,158.8637139,157.629145
"GM49396",70,688.7534649,617.1872261,798.9431638,928.1248796,1017.742813,870.9324051,889.2795829,924.3310674,893.6799908
"SGO2A",70,21.36547651,29.64593398,23.34796956,13.56570524,18.97463019,20.97758917,23.60993743,23.47484723,20.81763454
"NXPH2",70,47.84719209,80.2289775,64.57573578,31.10201885,40.65880203,51.63737356,57.17559253,59.56680128,45.19007324
"CYP51",70,1200.093377,1338.093061,1221.347164,1294.463214,1309.365807,1200.011366,1215.159094,1150.785025,1027.188701
"CHMP5",70,1131.576036,1243.153656,1131.441874,1182.958502,1186.235549,1151.989987,1087.850486,1085.562875,1027.404303
"IDI1",70,1095.303356,1144.834209,996.9775938,1043.429171,1061.936767,1020.592172,991.8894124,937.9184916,922.4016202
"PNRC1",70,667.1729924,709.3600042,647.3994495,656.6048795,636.733294,624.429262,596.9191979,608.710564,529.2130504
